"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS"
"1E-MA","CM",0.00,1252643.00,247128.00,113.00,10115.00,450.00,,,,,,,,,,,,
"1N-MA","CM",3405.00,1251780.00,246936.00,23.00,12000.00,720.00,,,,,,,,,,,,
"2N-MA","CM",1350.00,1241666.00,248996.00,23.00,9550.00,630.00,,,,,,,,,,,,
"3N-MA","CM",3919.00,1261374.00,243421.00,23.00,8000.00,630.00,,,,,,,,,,,,
"A01-L","LW",255.00,1250924.00,245572.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A02-A","CM",0.00,1251842.00,247083.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A02-B","CM",0.00,1243557.00,250600.00,203.00,750.00,270.00,,,,,,,,,,,,
"A02-L","LW",255.00,1251314.00,246493.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A03-A","CM",0.00,1252233.00,248004.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A03-B","CM",0.00,1243948.00,251520.00,203.00,750.00,270.00,,,,,,,,,,,,
"A03-L","LW",255.00,1251705.00,247413.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A04-A","CM",0.00,1252623.00,248924.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A04-B","CM",0.00,1244339.00,252441.00,203.00,750.00,270.00,,,,,,,,,,,,
"A04-L","LW",255.00,1252096.00,248334.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A05-A","CM",0.00,1253014.00,249845.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A05-B","CM",0.00,1244730.00,253361.00,203.00,750.00,270.00,,,,,,,,,,,,
"A05-L","LW",255.00,1252487.00,249254.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A06-A","CM",0.00,1253405.00,250765.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A06-B","CM",0.00,1245120.00,254282.00,203.00,750.00,270.00,,,,,,,,,,,,
"A06-L","LW",255.00,1252877.00,250175.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A07-B","CM",0.00,1245511.00,255202.00,203.00,750.00,270.00,,,,,,,,,,,,
"A07-C","CM",0.00,1253796.00,251686.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A07-L","LW",255.00,1253268.00,251095.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A08-B","CM",0.00,1245902.00,256123.00,203.00,750.00,270.00,,,,,,,,,,,,
"A08-C","CM",0.00,1254186.00,252606.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A08-L","LW",255.00,1253659.00,252016.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A09-B","CM",0.00,1246293.00,257043.00,203.00,750.00,270.00,,,,,,,,,,,,
"A09-C","CM",0.00,1254577.00,253527.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A09-L","LW",255.00,1254050.00,252936.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A10-B","CM",0.00,1246683.00,257964.00,203.00,750.00,270.00,,,,,,,,,,,,
"A10-C","CM",0.00,1254968.00,254447.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A10-L","LW",255.00,1254440.00,253857.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A11-B","CM",0.00,1247074.00,258884.00,203.00,750.00,270.00,,,,,,,,,,,,
"A11-C","CM",0.00,1255359.00,255368.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A11-L","LW",255.00,1254831.00,254777.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A12-B","CM",0.00,1247465.00,259805.00,203.00,750.00,270.00,,,,,,,,,,,,
"A12-C","CM",0.00,1255749.00,256288.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A12-L","LW",255.00,1255222.00,255698.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A13-B","CM",0.00,1247856.00,260725.00,203.00,750.00,270.00,,,,,,,,,,,,
"A13-C","CM",0.00,1256140.00,257208.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A13-L","LW",255.00,1255613.00,256618.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A14-A","CM",0.00,1256531.00,258129.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A14-B","CM",0.00,1248246.00,261646.00,203.00,750.00,270.00,,,,,,,,,,,,
"A14-L","LW",255.00,1256003.00,257539.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A15-A","CM",0.00,1256922.00,259050.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A15-B","CM",0.00,1248637.00,262566.00,203.00,750.00,270.00,,,,,,,,,,,,
"A15-L","LW",255.00,1256394.00,258459.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A16-A","CM",0.00,1257312.00,259970.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A16-B","CM",0.00,1249028.00,263487.00,203.00,750.00,270.00,,,,,,,,,,,,
"A16-L","LW",255.00,1256785.00,259380.00,293.00,8745.00,750.00,,,,,,,,,,,,
"A17-A","CM",0.00,1257703.00,260890.00,293.00,9270.00,250.00,,,,,,,,,,,,
"A17-B","CM",0.00,1249418.00,264407.00,203.00,750.00,270.00,,,,,,,,,,,,
"A17-L","LW",255.00,1257175.00,260300.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B01-A","CM",0.00,1241728.00,249144.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B01-B","CM",0.00,1233293.00,252996.00,23.00,750.00,90.00,,,,,,,,,,,,
"B01-L","LW",255.00,1241201.00,248553.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B02-A","CM",0.00,1242119.00,250064.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B02-B","CM",0.00,1233834.00,253581.00,203.00,750.00,50.00,,,,,,,,,,,,
"B02-L","LW",255.00,1241591.00,249474.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B03-A","CM",0.00,1242510.00,250985.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B03-B","CM",0.00,1234225.00,254501.00,203.00,750.00,270.00,,,,,,,,,,,,
"B03-L","LW",255.00,1241981.00,250393.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B04-A","CM",0.00,1242900.00,251905.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B04-B","CM",0.00,1234616.00,255422.00,203.00,750.00,270.00,,,,,,,,,,,,
"B04-L","LW",255.00,1242373.00,251315.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B05-B","CM",0.00,1235007.00,256342.00,203.00,750.00,270.00,,,,,,,,,,,,
"B05-C","CM",0.00,1243291.00,252826.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B05-L","LW",255.00,1242764.00,252235.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B06-B","CM",0.00,1235397.00,257263.00,203.00,750.00,270.00,,,,,,,,,,,,
"B06-C","CM",0.00,1243682.00,253746.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B06-L","LW",255.00,1243154.00,253156.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B07-B","CM",0.00,1235788.00,258183.00,203.00,750.00,270.00,,,,,,,,,,,,
"B07-C","CM",0.00,1244073.00,254667.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B07-L","LW",255.00,1243545.00,254076.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B08-B","CM",0.00,1236179.00,259104.00,203.00,750.00,270.00,,,,,,,,,,,,
"B08-C","CM",0.00,1244463.00,255587.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B08-L","LW",255.00,1243936.00,254997.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B09-B","CM",0.00,1236569.00,260024.00,203.00,750.00,270.00,,,,,,,,,,,,
"B09-C","CM",0.00,1244854.00,256508.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B09-L","LW",255.00,1244326.00,255917.00,293.00,8745.00,750.00,,,,,,,,,,,,
"B10-B","CM",0.00,1236960.00,260945.00,203.00,750.00,270.00,,,,,,,,,,,,
"B10-C","CM",0.00,1245245.00,257428.00,293.00,9270.00,250.00,,,,,,,,,,,,
"B10-L","LW",255.00,1244717.00,256838.00,293.00,8745.00,750.00,,,,,,,,,,,,
"D01-A","CM",0.00,1262184.00,243948.00,113.00,9270.00,250.00,,,,,,,,,,,,
"D01-L","LW",255.00,1262321.00,243618.00,113.00,8745.00,750.00,,,,,,,,,,,,
"DT-A","CM",0.00,1261793.00,243027.00,113.00,9270.00,250.00,,,,,,,,,,,,
"DT-B","CM",0.00,1270078.00,239511.00,23.00,750.00,270.00,,,,,,,,,,,,
"OW-1","CM",0.00,1250118.00,243942.00,23.00,1565.00,1440.00,,,,,,,,,,,,
"OW-2","CM",0.00,1251061.00,245242.00,23.00,1840.00,810.00,,,,,,,,,,,,
"OW-3","CM",0.00,1251451.00,246163.00,293.00,9270.00,250.00,,,,,,,,,,,,
"OW-4","CM",0.00,1251061.00,245242.00,293.00,9270.00,250.00,,,,,,,,,,,,
"OW-5","CM",0.00,1250469.00,244771.00,293.00,7370.00,450.00,,,,,,,,,,,,
"TG-B-","CM",0.00,1241337.00,248223.00,293.00,9270.00,250.00,,,,,,,,,,,,
"TG-BL","CM",0.00,1232902.00,252075.00,23.00,750.00,270.00,,,,,,,,,,,,
