"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS","LEAPFROG_OVERRIDE","ENTRIES","ENTRY_WIDTH","ENTRY_CENTERS","CROSSCUT_CENTERS","CROSSCUT_ANGLE","GOB_EYE_DEPTH","BELT_PILLARS_SPLIT"
"A-03G","CMG",0.00,1750028.99,443883.18,100.50,13391.42,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-04L","LW",250.00,1750239.09,443644.90,100.50,14320.58,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-04S","CMS",0.00,1764101.19,439855.27,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"A-04G","CMG",0.00,1749774.59,442510.55,100.50,14856.58,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-04X","CMX",0.00,1764382.40,439803.15,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"A-05S","CMS",0.00,1763843.46,438483.27,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"A-05G","CMG",0.00,1749520.19,441137.93,100.50,14853.20,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-05X","CMX",0.00,1764124.68,438431.15,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"A-06L","LW",250.00,1749730.28,440899.65,100.50,14307.87,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-06S","CMS",0.00,1763579.89,437112.34,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
