"BEGIN","SECT","TYPE","UNIT","SUPER","SHIFTS","START","END","AREA","DAYS","LATE","LEAD","MAX_USED","PERIOD","MINING_HT","SG","RW_ASH","RW_SUL","RW_BTU","RW_VOL","RW_AFT_ID","RW_AFT_HW","RW_AFT_2HW","RW_AFT_FLD","YIELD","CL_ASH","CL_SUL","CL_BTU","CL_VOL","CL_FSI","CL_INERTS","CL_REFLECT","CL_FLUID","CL_AFT_ID","CL_AFT_HW","CL_AFT_2HW","CL_AFT_FLD","RAW_TONS","CLEAN_TONS","SEAM_HT","PCT_WASHED","RAW_MOISTURE","CLEAN_MOISTURE"
11/4/91 0:00:00,"A02-AA","CM","CMA","XXXXX",47.50,6442.00,7843.25,105093.75,1048377776,0,0,0,"M",7.96,1.57,30.35,1.89,9580,24.75,0,0,0,0,66.40,6.94,2.02,13084,35.43,0.00,17.24,0.82,9777,0,0,0,0,41081.90,27274.11,7.26,100.00,6.00,6.00
11/4/91 0:00:00,"1N-MA","CM","CM1N","XXXXX",48.00,5773.00,6118.12,74545.91,1048377776,0,0,0,"M",8.50,1.57,31.23,2.16,9061,22.53,0,0,0,0,66.37,7.41,2.32,13025,36.45,0.00,17.88,0.82,11434,0,0,0,0,31158.66,20680.41,7.80,100.00,6.00,6.00
11/4/91 0:00:00,"2N-MA","CM","CM2N","XXXXX",19.00,1718.00,1865.25,27830.25,1048377776,0,0,0,"M",8.44,1.55,30.42,1.87,9192,24.39,0,0,0,0,67.55,6.80,1.90,12782,35.39,0.00,17.18,0.82,9654,0,0,0,0,11434.42,7724.37,7.74,100.00,6.00,6.00
11/4/91 0:00:00,"TG-B-","CM","CMTG","XXXXX",39.90,1340.00,2517.05,88278.74,1048377776,0,0,0,"M",8.40,1.60,31.98,1.61,8903,26.06,0,0,0,0,63.43,6.99,1.62,13071,35.36,0.00,17.16,0.82,9714,0,0,0,0,37166.56,23487.60,7.70,100.00,6.00,6.00
11/4/91 0:00:00,"A01-L","LW","LW","XXXXX",45.60,5007.00,3795.86,890184.95,1048377776,0,0,0,"M",6.27,1.46,20.55,2.20,10736,29.61,0,0,0,0,78.49,6.24,1.91,13219,36.13,7.61,18.04,0.81,11747,2158,2246,2314,2450,254751.87,199963.47,5.57,100.00,6.00,6.00
11/18/91 0:00:00,"A03-AA","CM","CMBL","XXXXX",20.00,0.00,590.00,44250.00,1048313856,0,0,0,"M",8.66,1.57,31.29,2.04,9068,21.63,0,0,0,0,66.50,7.43,2.14,13028,36.67,0.00,17.78,0.82,10521,0,0,0,0,18845.97,12533.60,7.96,100.00,6.00,6.00
12/2/91 0:00:00,"A02-AA","CM","CMA","XXXXX",37.50,7843.25,8949.50,82968.75,4079228,0,0,0,"M",8.05,1.55,29.33,1.70,9389,25.29,0,0,0,0,68.46,6.78,1.63,13134,35.34,0.00,17.22,0.82,9762,0,0,0,0,32424.72,22196.21,7.35,100.00,6.00,6.00
12/2/91 0:00:00,"1N-MA","CM","CM1N","XXXXX",18.00,6118.12,6247.53,27954.71,4079228,0,0,0,"M",8.51,1.57,30.98,2.17,9103,22.72,0,0,0,0,66.74,7.39,2.33,13028,36.46,0.00,17.98,0.82,11898,0,0,0,0,11669.32,7788.08,7.81,100.00,6.00,6.00
12/2/91 0:00:00,"2N-MA","CM","CM2N","XXXXX",15.00,1865.25,1981.50,21971.25,4079228,0,0,0,"M",8.50,1.55,30.10,1.87,9250,24.57,0,0,0,0,67.88,6.92,1.89,12764,35.43,0.00,17.18,0.82,9664,0,0,0,0,9078.06,6163.81,7.80,100.00,6.00,6.00
12/2/91 0:00:00,"TG-B-","CM","CMTG","XXXXX",31.50,2517.05,3446.30,69693.74,4079228,0,0,0,"M",8.41,1.59,32.04,1.63,8899,26.21,0,0,0,0,63.58,6.89,1.63,13080,35.04,0.00,17.16,0.82,9822,0,0,0,0,29219.90,18562.93,7.71,100.00,6.00,6.00
12/2/91 0:00:00,"A01-L","LW","LW","XXXXX",36.00,3795.86,2839.70,702777.60,4079228,0,0,0,"M",6.36,1.46,20.42,2.19,10743,29.73,0,0,0,0,78.57,6.18,1.96,13226,36.13,7.62,17.94,0.81,11146,2162,2250,2302,2454,204219.17,160463.99,5.66,100.00,6.00,6.00
12/2/91 0:00:00,"A03-AA","CM","CMBL","XXXXX",30.00,590.00,1475.00,66375.00,4079228,0,0,0,"M",8.72,1.58,32.45,1.96,8891,21.83,0,0,0,0,64.98,7.32,2.10,13050,36.54,0.00,17.99,0.82,10913,0,0,0,0,28650.08,18614.06,8.02,100.00,6.00,6.00
12/2/91 0:00:00,"B01-A","CM","CMA","XXXXX",37.50,110.00,1216.25,82968.75,4079228,0,0,0,"M",8.48,1.55,29.58,1.45,9309,24.83,0,0,0,0,68.19,6.66,1.43,12151,35.54,0.00,17.17,0.82,9687,0,0,0,0,34109.04,23259.87,7.78,100.00,6.00,6.00
1/2/92 0:00:00,"A02-AA","CM","CMA","XXXXX",12.50,8949.50,9270.00,24037.50,460,0,0,0,"M",8.28,1.55,29.43,1.81,9373,25.39,0,0,0,0,68.52,7.03,1.71,13093,35.24,0.00,17.21,0.82,9761,0,0,0,0,9652.78,6614.49,7.58,100.00,6.00,6.00
1/2/92 0:00:00,"1N-MA","CM","CM1N","XXXXX",26.40,6247.53,6437.35,41000.25,-101455924,0,0,0,"M",8.51,1.57,31.00,2.21,9101,23.05,0,0,0,0,66.67,7.39,2.35,13026,36.42,0.00,18.06,0.82,12242,0,0,0,0,17104.86,11404.40,7.81,100.00,6.00,6.00
1/2/92 0:00:00,"2N-MA","CM","CM2N","XXXXX",41.00,1981.50,2299.25,60054.75,-101455924,0,0,0,"M",8.53,1.55,29.42,1.81,9359,24.85,0,0,0,0,68.60,6.92,1.76,12781,35.45,0.00,17.19,0.82,9682,0,0,0,0,24827.74,17035.69,7.83,100.00,6.00,6.00
1/2/92 0:00:00,"TG-B-","CM","CMTG","XXXXX",46.20,3446.30,4809.19,102217.50,-101455924,0,0,0,"M",8.51,1.55,29.55,1.53,9337,26.27,0,0,0,0,68.24,7.13,1.49,13048,34.88,0.00,17.17,0.82,9968,0,0,0,0,42159.86,28774.18,7.81,100.00,6.00,6.00
1/2/92 0:00:00,"A01-L","LW","LW","XXXXX",52.80,2839.70,1437.33,1030740.48,-101455924,0,0,0,"M",6.50,1.45,19.99,2.03,10770,29.74,0,0,0,0,78.46,6.12,1.81,13237,36.26,7.63,17.79,0.82,10843,2178,2265,2296,2464,304804.86,239179.38,5.80,100.00,6.00,6.00
